Company,Missions
AEB,3
AMBA,8
Arianespace,279
Arm??e de l'Air,4
ASI,9
Blue Origin,12
Boeing,136
CASC,250
CASIC,5
CECLES,4
CNES,8
Douglas,1
EER,1
ESA,13
Eurockot,13
Exos,4
ExPace,10
General Dynamics,251
IAI,11
ILS,46
IRGC,1
ISA,13
ISAS,30
i-Space,1
ISRO,76
JAXA,7
KARI,3
KCST,5
Khrunichev,1
Kosmotras,22
Land Launch,7
Landspace,1
Lockheed,79
Martin Marietta,114
MHI,84
MITT,7
NASA,203
Northrop,83
OKB-586,2
OneSpace,1
RAE,2
Rocket Lab,13
Roscosmos,55
RVSN USSR,1777
Sandia,1
Sea Launch,36
SpaceX,100
SRC,3
Starsem,1
ULA,140
US Air Force,161
US Navy,17
UT,5
Virgin Orbit,1
VKS RF,201
Yuzhmash,2
