Years,Russia,USA
1957,0,1
1958,0,23
1959,0,16
1960,0,30
1961,2,43
1962,8,60
1963,8,17
1964,8,24
1965,10,33
1966,15,47
1967,37,26
1968,40,22
1969,45,17
1970,59,11
1971,62,16
1972,57,17
1973,67,17
1974,60,10
1975,66,15
1976,66,13
1977,72,14
1978,62,21
1979,33,9
1980,34,11
1981,41,13
1982,43,11
1983,40,13
1984,38,17
1985,39,16
1986,42,6
1987,30,6
1988,27,7
1989,22,16
1990,30,26
1991,25,18
1992,20,27
1993,21,24
1994,15,26
1995,10,30
1996,8,33
1997,7,36
1998,7,36
1999,4,31
2000,6,28
2001,5,22
2002,8,17
2003,7,23
2004,5,16
2005,6,12
2006,5,18
2007,5,19
2008,6,15
2009,5,25
2010,5,15
2011,2,18
2012,1,13
2013,7,19
2014,6,23
2015,4,21
2016,6,27
2017,6,30
2018,8,33
2019,9,24
2020,3,21
